university,year,rank_display,ranking,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,lat,lng,_merge
RWTH Aachen University,2020,138,138,51.900002,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
RWTH Aachen University,2021,145,145,51.400002,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
RWTH Aachen University,2022,165,165,48,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
RWTH Aachen University,2018,141,141,55.599998,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
RWTH Aachen University,2019,144,144,50.400002,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
RWTH Aachen University,2017,146,146,55,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19,"12,477",XL,"2,431",50.776199,6.0837998,matched (3)
Aarhus University,2018,119,119,59.299999,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
Aarhus University,2021,147,147,51,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
Aarhus University,2022,155,155,50.200001,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
Aarhus University,2020,145,145,51,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
Aarhus University,2019,141,141,50.700001,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
Aarhus University,2017,117,117,59.5,https://www.topuniversities.com/universities/aarhus-university,Denmark,Aarhus,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11,"2,911",L,683,56.1572,10.2107,matched (3)
University of Aberdeen,2019,172,172,46.599998,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,Public,Very High,11,"5,544",L,"1,175",57.150002,-2.1099999,matched (3)
University of Aberdeen,2020,194,194,44.599998,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,Public,Very High,11,"5,544",L,"1,175",57.150002,-2.1099999,matched (3)
University of Aberdeen,2018,158,158,52.700001,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,Public,Very High,11,"5,544",L,"1,175",57.150002,-2.1099999,matched (3)
University of Aberdeen,2017,141,141,55.599998,https://www.topuniversities.com/universities/university-aberdeen,United Kingdom,Aberdeen,Europe,https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg,Public,Very High,11,"5,544",L,"1,175",57.150002,-2.1099999,matched (3)
